"0","#| fig.cap: ""Figure 4: Plot distributions for the proportion of consumption effect on TDR"""
"0",""
"0","library(tidyverse)"
"0","# Define the scaling factor "
"0","# scale_factor <- 4.55  # Adjust this value as needed"
"0",""
"0","# Define the parameters for each option"
"0","options <- list("
"0","  ""Greatest_proportion"" = list(alpha = 19, beta = 1),"
"0","  ""High_proportion"" = list(alpha = 15, beta = 5),"
"0","  ""Moderate_proportion"" = list(alpha = 5, beta = 5),"
"0","  ""Low_proportion"" = list(alpha = 4, beta = 10),"
"0","  ""None"" = list(alpha = 1, beta = 19) "
"0",")"
"0",""
"0","# Create a sequence of TDR values from 0 to 1"
"0","tdr_values <- seq(0, 1, length.out = 1000)"
"0",""
"0","# Initialize a data frame to hold the densities"
"0","density_data <- data.frame(TDR = tdr_values)"
"0",""
"0","# Calculate the densities for each option"
"0","for (option in names(options)) {"
"0","  alpha <- options[[option]]$alpha"
"0","  beta <- options[[option]]$beta"
"0","  density_data[[option]] <- dbeta(tdr_values, alpha, beta)"
"0","}"
"0",""
"0","# Convert data to long format for ggplot2"
"0","density_long <- gather(density_data, key = ""Option"", value = ""Density"", -TDR)"
"0",""
"0","density_long <- density_long %>% "
"0","  mutate(Option = factor(Option, levels = c(""Greatest_proportion"", "
"0","                                            ""High_proportion"", "
"0","                                            ""Moderate_proportion"", "
"0","                                            ""Low_proportion"","
"0","                                            ""None"")))"
"0",""
"0",""
"0",""
"0","# Plot the densities"
"0","ggplot(density_long, aes(x = TDR, y = Density, color = Option)) +"
"0","#  geom_line(size = 1.3) +"
"0","  geom_area(alpha = 0.4, position = ""identity"", aes(fill = Option)) +"
"0","  labs(title = ""Prior Distributions for TDR"","
"0","       subtitle = ""Proportion of Consumption Effect"","
"0","       x = ""TDR"","
"0","       y = ""Density"") +"
"0","  theme_minimal(base_size = 22) +"
"0","  theme(legend.title = element_blank(),"
"0","        legend.position = ""inside"","
"0","        legend.position.inside = c(0.25, 0.8),"
"0","        legend.key.size = unit(0.5, 'cm'),"
"0","        legend.text = element_text(size = 11))"
